Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
512,8,60,relu,0.2,Adam,"[(0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9994444444444445, 0.9994447914497884, 0.9994444444444445, 0.9994438350379751), (0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9972206781545303, 0.9972163312069866, 0.9972206781545303, 0.9972114253546527)]"
512,8,60,relu,0.5,Adam,"[(0.9966666666666667, 0.9966791199667911, 0.9966666666666667, 0.9966444051075976), (1.0, 1.0, 1.0, 1.0), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9972222222222222, 0.9972179208541233, 0.9972222222222222, 0.9972130277039638), (0.9988882712618121, 0.9988896591878274, 0.9988882712618121, 0.9988858110642405)]"
512,8,100,relu,0.2,Adam,"[(0.9955555555555555, 0.9955776672194583, 0.9955555555555555, 0.995515745782935), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9977777777777778, 0.9977742468379173, 0.9977777777777778, 0.9977728883155454), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9983324068927182, 0.9983302938933782, 0.9983324068927182, 0.998330567129533)]"
512,8,100,relu,0.5,Adam,"[(0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (1.0, 1.0, 1.0, 1.0), (0.9994444444444445, 0.9994447914497884, 0.9994444444444445, 0.9994438350379751), (0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9988882712618121, 0.9988896591878274, 0.9988882712618121, 0.9988858110642405)]"
512,32,35,relu,0.2,Adam,"[(0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9977765425236242, 0.9977820873053609, 0.9977765425236242, 0.9977666438634649)]"
512,32,35,relu,0.5,Adam,"[(0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9994444444444445, 0.9994447914497884, 0.9994444444444445, 0.9994438350379751), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9972206781545303, 0.9972293364780364, 0.9972206781545303, 0.9972051659478767)]"
512,32,60,relu,0.2,Adam,"[(0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (1.0, 1.0, 1.0, 1.0), (0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9988882712618121, 0.9988896591878274, 0.9988882712618121, 0.9988858110642405)]"
512,32,60,relu,0.5,Adam,"[(0.9966666666666667, 0.9966791199667911, 0.9966666666666667, 0.9966444051075976), (0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9977765425236242, 0.9977820873053609, 0.9977765425236242, 0.9977666438634649)]"
512,32,100,relu,0.2,Adam,"[(0.9966666666666667, 0.9966791199667911, 0.9966666666666667, 0.9966444051075976), (0.9988888888888889, 0.9988998899889989, 0.9988888888888889, 0.9988913054075048), (0.9961111111111111, 0.9961280508884741, 0.9961111111111111, 0.9960807214286602), (0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9977765425236242, 0.9977820873053609, 0.9977765425236242, 0.9977666438634649)]"
512,32,100,relu,0.5,Adam,"[(0.9972222222222222, 0.9972308757355486, 0.9972222222222222, 0.9972068081035478), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9966666666666667, 0.9966791199667911, 0.9966666666666667, 0.9966444051075976), (0.9988882712618121, 0.9988882712618121, 0.9988882712618121, 0.9988882712618121)]"
512,64,35,relu,0.2,Adam,"[(0.9955555555555555, 0.9955776672194583, 0.9955555555555555, 0.995515745782935), (0.9994444444444445, 0.9994447914497884, 0.9994444444444445, 0.9994438350379751), (0.9966666666666667, 0.9966622559248138, 0.9966666666666667, 0.9966519123822495), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9983324068927182, 0.9983355277781343, 0.9983324068927182, 0.9983268552127915)]"
512,64,35,relu,0.5,Adam,"[(0.9972222222222222, 0.9972308757355486, 0.9972222222222222, 0.9972068081035478), (0.9994444444444445, 0.9994447914497884, 0.9994444444444445, 0.9994438350379751), (0.9988888888888889, 0.9988888888888889, 0.9988888888888889, 0.9988888888888889), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9977765425236242, 0.9977820873053609, 0.9977765425236242, 0.9977666438634649)]"
512,64,60,relu,0.2,Adam,"[(0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9988888888888889, 0.9988998899889989, 0.9988888888888889, 0.9988913054075048), (0.9994444444444445, 0.9994447914497884, 0.9994444444444445, 0.9994438350379751), (0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9988882712618121, 0.9988896591878274, 0.9988882712618121, 0.9988858110642405)]"
512,64,60,relu,0.5,Adam,"[(0.9972222222222222, 0.9972308757355486, 0.9972222222222222, 0.9972068081035478), (1.0, 1.0, 1.0, 1.0), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9977765425236242, 0.9977820873053609, 0.9977765425236242, 0.9977666438634649)]"
512,64,100,relu,0.2,Adam,"[(0.9944444444444445, 0.9944461719181867, 0.9944444444444445, 0.9943946822286687), (1.0, 1.0, 1.0, 1.0), (0.9972222222222222, 0.9972308757355486, 0.9972222222222222, 0.9972068081035478), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9977765425236242, 0.9977820873053609, 0.9977765425236242, 0.9977666438634649)]"
512,64,100,relu,0.5,Adam,"[(0.9961111111111111, 0.9961072503128577, 0.9961111111111111, 0.996089531344967), (0.9994444444444445, 0.9994447914497884, 0.9994444444444445, 0.9994438350379751), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9977765425236242, 0.9977820873053609, 0.9977765425236242, 0.9977666438634649)]"
